kode_provinsi,nama_provinsi,persen_lulus_SD
id-ac,Prov. Nanggroe Aceh Darussalam,0.297340885
id-su,Prov. Sumatera Utara,0.277927035
id-sb,Prov. Sumatera Barat,0.288596151
id-ri,Prov. Riau,0.326223059
id-ja,Prov. Jambi,0.352745165
id-sl,Prov. Sumatera Selatan,0.394148411
id-be,Prov. Bengkulu,0.323991433
id-1024,Prov. Lampung,0.390715977
id-bb,Prov. Kepulauan Bangka Belitung,0.383289139
id-kr,Prov. Kepulauan Riau,0.213088735
id-jk,Prov. DKI Jakarta,0.174901132
id-jr,Prov. Jawa Barat,0.42969349
id-jt,Prov. Jawa Tengah,0.423397411
id-yo,Prov. D I Yogyakarta,0.238373428
id-ji,Prov. Jawa Timur,0.391991789
id-bt,Prov. Banten,0.34331693
id-ba,Prov. Bali,0.315436115
id-nb,Prov. Nusa Tenggara Barat,0.341431024
id-nt,Prov. Nusa Tenggara Timur,0.440950241
id-kb,Prov. Kalimantan Barat,0.377560847
id-kt,Prov. Kalimantan Tengah,0.392031424
id-ks,Prov. Kalimantan Selatan,0.371496436
id-ki,Prov. Kalimantan Timur,0.277758983
id-sw,Prov. Sulawesi Utara,0.276248781
id-st,Prov. Sulawesi Tengah,0.395479512
id-se,Prov. Sulawesi Selatan,0.33515931
id-sg,Prov. Sulawesi Tenggara,0.309402039
id-go,Prov. Gorontalo,0.332225121
id-sr,Prov. Sulawesi Barat,0.396340638
id-ma,Prov. Maluku,0.357557689
id-la,Prov. Maluku Utara,0.333306243
id-ib,Prov. Papua Barat,0.251899139
id-pa,Prov. Papua,0.265310578
