kode_provinsi,nama_provinsi,persen_lulus_SMA
id-ac,Prov. Nanggroe Aceh Darussalam,0.29603372
id-su,Prov. Sumatera Utara,0.329610164
id-sb,Prov. Sumatera Barat,0.283742415
id-ri,Prov. Riau,0.292917306
id-ja,Prov. Jambi,0.249672639
id-sl,Prov. Sumatera Selatan,0.238214538
id-be,Prov. Bengkulu,0.267509193
id-1024,Prov. Lampung,0.213480632
id-bb,Prov. Kepulauan Bangka Belitung,0.231904575
id-kr,Prov. Kepulauan Riau,0.454409383
id-jk,Prov. DKI Jakarta,0.417435349
id-jr,Prov. Jawa Barat,0.232923911
id-jt,Prov. Jawa Tengah,0.199645608
id-yo,Prov. D I Yogyakarta,0.360584849
id-ji,Prov. Jawa Timur,0.235607896
id-bt,Prov. Banten,0.291424071
id-ba,Prov. Bali,0.331416635
id-nb,Prov. Nusa Tenggara Barat,0.25114235
id-nt,Prov. Nusa Tenggara Timur,0.19204842
id-kb,Prov. Kalimantan Barat,0.211321639
id-kt,Prov. Kalimantan Tengah,0.216781224
id-ks,Prov. Kalimantan Selatan,0.222349207
id-ki,Prov. Kalimantan Timur,0.339068647
id-sw,Prov. Sulawesi Utara,0.315196949
id-st,Prov. Sulawesi Tengah,0.227871252
id-se,Prov. Sulawesi Selatan,0.273906581
id-sg,Prov. Sulawesi Tenggara,0.274971593
id-go,Prov. Gorontalo,0.192776232
id-sr,Prov. Sulawesi Barat,0.194310252
id-ma,Prov. Maluku,0.27055994
id-la,Prov. Maluku Utara,0.266702822
id-ib,Prov. Papua Barat,0.33239436
id-pa,Prov. Papua,0.316081587
