kode_provinsi,nama_provinsi,persen_partisipasi_murni_sd
id-ac,Prov. Nanggroe Aceh Darussalam,97.32
id-su,Prov. Sumatera Utara,95.33
id-sb,Prov. Sumatera Barat,95.51
id-ri,Prov. Riau,96.24
id-ja,Prov. Jambi,95.61
id-sl,Prov. Sumatera Selatan,94.17
id-be,Prov. Bengkulu,95.53
id-1024,Prov. Lampung,95.2
id-bb,Prov. Kepulauan Bangka Belitung,92.86
id-kr,Prov. Kepulauan Riau,94.56
id-jk,Prov. DKI Jakarta,94.59
id-jr,Prov. Jawa Barat,95.02
id-jt,Prov. Jawa Tengah,95.93
id-yo,Prov. D I Yogyakarta,94.76
id-ji,Prov. Jawa Timur,95.63
id-bt,Prov. Banten,94.73
id-ba,Prov. Bali,95.53
id-nb,Prov. Nusa Tenggara Barat,95.16
id-nt,Prov. Nusa Tenggara Timur,93.03
id-kb,Prov. Kalimantan Barat,94.76
id-kt,Prov. Kalimantan Tengah,96.63
id-ks,Prov. Kalimantan Selatan,95
id-ki,Prov. Kalimantan Timur,94.14
id-sw,Prov. Sulawesi Utara,92.25
id-st,Prov. Sulawesi Tengah,93.54
id-se,Prov. Sulawesi Selatan,92.86
id-sg,Prov. Sulawesi Tenggara,95.06
id-go,Prov. Gorontalo,90.81
id-sr,Prov. Sulawesi Barat,93.94
id-ma,Prov. Maluku,95
id-la,Prov. Maluku Utara,93.97
id-ib,Prov. Papua Barat,92.29
id-pa,Prov. Papua,76.22
