kode_provinsi,nama_provinsi,persen_partisipasi_murni_sma
id-ac,Prov. Nanggroe Aceh Darussalam,62.42
id-su,Prov. Sumatera Utara,55.72
id-sb,Prov. Sumatera Barat,55.06
id-ri,Prov. Riau,52.24
id-ja,Prov. Jambi,45.31
id-sl,Prov. Sumatera Selatan,43.49
id-be,Prov. Bengkulu,49.97
id-1024,Prov. Lampung,41.97
id-bb,Prov. Kepulauan Bangka Belitung,38.69
id-kr,Prov. Kepulauan Riau,54.74
id-jk,Prov. DKI Jakarta,50.57
id-jr,Prov. Jawa Barat,38.84
id-jt,Prov. Jawa Tengah,45
id-yo,Prov. D I Yogyakarta,59.35
id-ji,Prov. Jawa Timur,48.6
id-bt,Prov. Banten,39.61
id-ba,Prov. Bali,57.14
id-nb,Prov. Nusa Tenggara Barat,49.35
id-nt,Prov. Nusa Tenggara Timur,34.93
id-kb,Prov. Kalimantan Barat,36.83
id-kt,Prov. Kalimantan Tengah,39.62
id-ks,Prov. Kalimantan Selatan,36.24
id-ki,Prov. Kalimantan Timur,53.66
id-sw,Prov. Sulawesi Utara,50.7
id-st,Prov. Sulawesi Tengah,40.23
id-se,Prov. Sulawesi Selatan,42.75
id-sg,Prov. Sulawesi Tenggara,48.54
id-go,Prov. Gorontalo,39.15
id-sr,Prov. Sulawesi Barat,34.03
id-ma,Prov. Maluku,59.8
id-la,Prov. Maluku Utara,52.68
id-ib,Prov. Papua Barat,44.75
id-pa,Prov. Papua,36.06
